summary_id,city_id,summary_date,avg_temp_c,min_temp_c,max_temp_c,avg_humidity,avg_wind_ms,avg_aqi,max_aqi,dominant_weather
1,1,2026-06-09,18.68,14.44,24.07,72.14,2.521,1.0,1,Clouds
2,2,2026-06-09,26.09,24.26,28.1,75.0,5.606,1.0,1,Clouds
3,3,2026-06-09,23.51,18.82,28.57,64.43,2.174,1.33,2,Clouds
4,4,2026-06-09,25.56,22.86,28.82,74.14,3.331,1.0,1,Clouds
5,1,2026-06-10,18.4,14.89,24.2,73.5,3.065,1.0,1,Clouds
6,2,2026-06-10,25.48,23.83,28.14,77.33,4.992,1.0,1,Clouds
7,3,2026-06-10,22.69,18.64,28.71,69.0,1.842,1.5,2,Clouds
8,4,2026-06-10,24.28,22.21,28.37,81.67,3.132,1.0,1,Clouds
9,1,2026-06-11,17.14,14.64,23.45,82.0,2.697,1.0,1,Clouds
10,2,2026-06-11,24.74,21.55,27.68,81.0,5.077,1.0,1,Clouds
11,3,2026-06-11,21.73,17.84,29.87,72.29,1.781,1.8,2,Clouds
12,4,2026-06-11,23.25,19.94,25.92,81.14,3.177,1.0,1,Clouds
13,1,2026-06-12,17.03,15.14,20.68,84.71,2.381,1.0,1,Rain
14,2,2026-06-12,25.47,23.74,27.84,76.0,6.82,1.0,1,Clouds
15,3,2026-06-12,22.0,17.23,28.45,70.71,1.827,1.67,2,Clouds
16,4,2026-06-12,24.01,20.57,28.44,77.43,3.619,1.0,1,Clouds
17,1,2026-06-13,16.74,14.45,20.29,84.13,2.361,1.0,1,Clouds
18,2,2026-06-13,24.77,21.85,27.04,79.88,5.765,1.0,1,Rain
19,3,2026-06-13,22.35,19.29,28.5,69.38,2.088,1.0,1,Clouds
20,4,2026-06-13,24.4,21.24,29.5,72.63,3.874,1.0,1,Clouds
21,1,2026-06-14,16.56,13.16,20.99,77.89,2.337,1.0,1,Clouds
22,2,2026-06-14,25.28,23.37,28.12,72.44,6.75,1.0,1,Clouds
23,3,2026-06-14,22.72,19.32,27.51,66.89,2.152,1.0,1,Clouds
24,4,2026-06-14,24.34,21.29,29.62,72.44,3.54,1.0,1,Clouds
25,1,2026-06-15,16.22,12.64,22.89,64.8,2.522,1.4,2,Clouds
26,2,2026-06-15,25.25,24.19,27.56,74.8,6.71,1.0,1,Clouds
27,3,2026-06-15,21.14,17.44,28.49,72.8,1.804,1.0,1,Clouds
28,4,2026-06-15,24.18,21.91,30.05,71.6,3.142,1.0,1,Clouds
29,1,2026-06-16,16.64,13.89,22.77,75.2,2.432,1.0,1,Clouds
30,2,2026-06-16,25.09,24.25,27.68,78.2,6.028,1.0,1,Rain
31,3,2026-06-16,20.9,17.23,27.48,62.8,2.066,1.4,2,Clouds
32,4,2026-06-16,22.47,21.75,23.79,91.2,2.966,1.0,1,Clouds
33,1,2026-06-17,16.24,13.18,20.14,78.57,2.129,1.0,1,Clouds
34,2,2026-06-17,24.88,23.41,27.49,80.0,5.571,1.0,1,Clouds
35,3,2026-06-17,20.93,17.56,27.63,66.29,2.08,1.4,2,Clouds
36,4,2026-06-17,23.53,21.34,29.0,82.71,3.111,1.0,1,Clouds
37,1,2026-06-18,16.82,13.64,21.23,79.5,1.875,1.0,1,Clouds
38,2,2026-06-18,25.14,23.86,27.21,75.67,6.592,1.0,1,Rain
39,3,2026-06-18,21.64,17.97,29.26,68.17,1.89,1.5,2,Clouds
40,4,2026-06-18,23.7,20.89,28.67,76.5,3.527,1.0,1,Clear
41,1,2026-06-19,16.77,13.88,22.48,82.29,2.226,1.0,1,Clouds
42,2,2026-06-19,25.21,24.11,27.19,76.71,6.551,1.17,2,Clouds
43,3,2026-06-19,20.99,16.55,26.82,72.57,1.863,1.67,2,Clouds
44,4,2026-06-19,24.18,21.13,28.68,74.43,3.713,1.0,1,Clear
49,1,2026-06-20,16.47,14.14,21.67,82.13,2.604,1.0,1,Clouds
50,2,2026-06-20,24.87,23.65,27.04,76.88,7.41,1.0,1,Rain
51,3,2026-06-20,21.32,19.02,27.32,73.13,1.918,1.0,1,Clouds
52,4,2026-06-20,23.23,21.34,27.21,75.0,4.101,1.0,1,Clouds
53,9,2026-06-20,21.6,18.47,26.72,73.83,1.868,1.0,1,Clouds
54,10,2026-06-20,19.27,15.27,25.94,57.33,4.6,1.0,1,Clouds
55,11,2026-06-20,16.92,14.05,20.99,79.0,3.015,1.0,1,Clouds
56,12,2026-06-20,18.08,15.4,21.65,73.17,1.068,1.5,2,Clouds
57,13,2026-06-20,24.74,22.99,27.74,60.83,1.523,1.0,1,Clouds
58,14,2026-06-20,29.01,25.09,35.87,49.5,1.392,1.0,1,Clouds
59,15,2026-06-20,18.14,14.55,24.35,50.33,2.167,2.83,3,Clouds
60,16,2026-06-20,25.02,21.55,31.22,54.0,5.932,1.0,1,Clouds
61,17,2026-06-20,25.56,25.03,26.74,77.83,5.298,1.0,1,Clouds
62,18,2026-06-20,30.95,29.83,33.33,70.5,2.808,2.67,3,Clouds
63,19,2026-06-20,20.97,17.85,24.92,26.17,2.252,3.0,3,Clear
64,20,2026-06-20,28.65,24.23,34.19,49.17,1.87,2.0,2,Clouds
65,21,2026-06-20,18.95,13.63,27.34,39.83,2.718,1.0,1,Clouds
66,22,2026-06-20,19.2,16.83,22.77,73.67,1.613,1.17,2,Clouds
67,23,2026-06-20,30.62,26.88,34.74,44.17,2.015,2.0,2,Clouds
68,24,2026-06-20,21.71,20.05,24.78,95.83,1.132,1.0,1,Clouds
69,25,2026-06-20,25.33,23.88,28.28,88.83,2.347,1.0,1,Rain
70,26,2026-06-20,26.76,20.79,33.23,71.0,1.878,1.0,1,Clouds
71,27,2026-06-20,33.28,27.04,41.23,41.67,5.875,1.17,2,Clouds
72,28,2026-06-20,25.34,24.38,26.67,78.5,3.693,1.83,2,Clouds
73,29,2026-06-20,26.23,25.72,27.05,87.0,2.43,1.67,2,Rain
74,1,2026-06-21,16.79,14.12,20.18,78.63,2.164,1.0,1,Clouds
75,2,2026-06-21,25.21,22.52,27.55,65.75,7.221,1.5,2,Clouds
76,3,2026-06-21,22.11,18.54,27.45,68.5,2.37,1.0,1,Clouds
77,4,2026-06-21,23.49,20.21,28.14,68.88,3.906,1.17,2,Clear
78,9,2026-06-21,21.69,18.09,26.09,74.25,2.173,1.17,2,Clear
79,10,2026-06-21,19.64,15.09,25.7,49.88,4.505,1.5,2,Clear
80,11,2026-06-21,16.12,12.59,20.08,74.75,2.706,1.0,1,Clouds
81,12,2026-06-21,19.44,14.92,24.92,62.0,1.874,1.83,3,Clouds
82,13,2026-06-21,24.84,22.13,28.86,58.88,2.046,1.0,1,Clouds
